sp	LongGenome(nt)	proteins	enzimas	EC
abo	3120143	2755	931	606
aci	3598621	3308	1008	648
aeh	3275944	2865	850	584
aha	4744448	4121	1218	751
bcc	422534	362	195	161
bci	686194	595	346	298
bfl	705557	583	351	288
bpn	791654	610	365	301
buc	655941	574	331	278
cbu	2032759	1847	530	414
cps	5373180	4910	1075	684
crp	159662	182	78	69
csa	3696649	3298	971	679
eco	4639675	4150	1369	859
ftu	1892775	1604	581	431
hch	7215267	6778	1172	734
hdu	1698955	1717	546	409
hha	2678452	2407	753	567
ilo	2839318	2628	752	557
lpn	3397754	2943	788	550
maq	4779942	4272	988	640
mca	3304561	2956	844	581
msu	2314078	2369	780	563
noc	3522194	3018	851	599
pat	5187005	4281	1063	719
pcr	3101181	2511	820	600
pfl	7074893	6139	1432	822
pha	3850366	3489	1002	672
pin	4559598	3548	997	677
plu	5688987	4683	1086	732
ppr	6403453	5489	1254	758
rma	1160782	976	488	396
saz	4306142	3645	1022	690
sde	5057531	4007	876	604
sdn	4545906	3754	937	644
shm	4799186	4014	1025	678
tcx	2427734	2196	695	500
vfi	4273890	3817	1120	694
vvu	5126787	4433	1096	717
xca	5079002	4469	1078	718
bsu	4215606	4177	1081	674
